datapoint_id,cf1,cf2,cf3,cf4,cf5
8723,"Original Instance | Counterfactual
Market Segment: Groups | Market Segment: Aviation
Stays In Week Nights: 5 | Stays In Week Nights: 10
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Market Segment: Groups | Market Segment: Aviation
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Market Segment: Groups | Market Segment: Aviation
Stays In Week Nights: 5 | Stays In Week Nights: 6
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Arrival Date Week Number: 42 | Arrival Date Week Number: 1
Previous Cancellations: 0 | Previous Cancellations: 1
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Previous Cancellations: 0 | Previous Cancellations: 11
Stays In Weekend Nights: 2 | Stays In Weekend Nights: 10
Reservation Status: Check-Out | Reservation Status: Cancellation"
10233,"Original Instance | Counterfactual
Lead Time: 70 | Lead Time: 618
Arrival Date Day Of Month: 22 | Arrival Date Day Of Month: 25
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
ADR: 42.0 | ADR: 48.8
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Country: GBR | Country: SEN
Stays In Week Nights: 4 | Stays In Week Nights: 10
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
ADR: 42.0 | ADR: 83.6
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
ADR: 42.0 | ADR: 132.2
Reservation Status: Check-Out | Reservation Status: Cancellation"
52028,"Original Instance | Counterfactual
Booking Changes: 1 | Booking Changes: 6
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Stays In Weekend Nights: 2 | Stays In Weekend Nights: 7
Adults: 3 | Adults: 1
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Reserved Room Type: Standard Room | Reserved Room Type: Suite Room
Adults: 3 | Adults: 5
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Arrival Date Month: May | Arrival Date Month: March
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Deposit Type: Non Refund | Deposit Type: No Deposit
Arrival Date Week Number: 23 | Arrival Date Week Number: 1
Reservation Status: Cancellation | Reservation Status: Check-Out"
16948,"Original Instance | Counterfactual
Market Segment: Online TA | Market Segment: Aviation
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Previous Cancellations: 0 | Previous Cancellations: 25
Children: 0.0 | Children: 1.0
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Country: IRL | Country: CHL
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Arrival Date Day Of Month: 21 | Arrival Date Day Of Month: 26
Booking Changes: 3 | Booking Changes: 20
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Arrival Date Day Of Month: 21 | Arrival Date Day Of Month: 1
Children: 0.0 | Children: 3.0
Reservation Status: Cancellation | Reservation Status: Check-Out"
16376,"Original Instance | Counterfactual
Arrival Date Day Of Month: 23 | Arrival Date Day Of Month: 2
Stays In Week Nights: 2 | Stays In Week Nights: 25
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Lead Time: 100 | Lead Time: 541
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Market Segment: Direct | Market Segment: Online TA
Previous Cancellations: 0 | Previous Cancellations: 19
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Country: SVN | Country: MDV
Stays In Weekend Nights: 2 | Stays In Weekend Nights: 6
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Deposit Type: No Deposit | Deposit Type: Refundable
Reservation Status: Check-Out | Reservation Status: Cancellation"
13260,"Original Instance | Counterfactual
Stays In Weekend Nights: 2 | Stays In Weekend Nights: 0
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Arrival Date Month: August | Arrival Date Month: October
Stays In Week Nights: 5 | Stays In Week Nights: 13
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Country: PRT | Country: TZA
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Arrival Date Day Of Month: 6 | Arrival Date Day Of Month: 27
Children: 0.0 | Children: 2.0
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Total Of Special Requests: 2 | Total Of Special Requests: 1
Market Segment: Online TA | Market Segment: Corporate
Reservation Status: Cancellation | Reservation Status: Check-Out"
27378,"Original Instance | Counterfactual
Market Segment: Direct | Market Segment: Corporate
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Stays In Weekend Nights: 1 | Stays In Weekend Nights: 0
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Market Segment: Direct | Market Segment: Aviation
Adults: 2 | Adults: 3
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Deposit Type: No Deposit | Deposit Type: Refundable
Country: PRT | Country: AGO
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Stays In Weekend Nights: 1 | Stays In Weekend Nights: 0
Reservation Status: Cancellation | Reservation Status: Check-Out"
22730,"Original Instance | Counterfactual
Booking Changes: 0 | Booking Changes: 7
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Booking Changes: 0 | Booking Changes: 2
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Total Of Special Requests: 0 | Total Of Special Requests: 1
Booking Changes: 0 | Booking Changes: 4
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Arrival Date Day Of Month: 31 | Arrival Date Day Of Month: 18
Booking Changes: 0 | Booking Changes: 5
Reservation Status: Cancellation | Reservation Status: Check-Out","Original Instance | Counterfactual
Deposit Type: Refundable | Deposit Type: No Deposit
Booking Changes: 0 | Booking Changes: 4
Reservation Status: Cancellation | Reservation Status: Check-Out"
23855,"Original Instance | Counterfactual
Lead Time: 74 | Lead Time: 438
Children: 0.0 | Children: 1.0
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
ADR: 79.0 | ADR: 375.0
Arrival Date Day Of Month: 4 | Arrival Date Day Of Month: 8
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Previous Cancellations: 0 | Previous Cancellations: 11
Stays In Weekend Nights: 0 | Stays In Weekend Nights: 10
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Previous Cancellations: 0 | Previous Cancellations: 2
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Arrival Date Month: May | Arrival Date Month: November
Reservation Status: Check-Out | Reservation Status: Cancellation"
28133,"Original Instance | Counterfactual
Lead Time: 67 | Lead Time: 289
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Arrival Date Month: September | Arrival Date Month: August
Children: 0.0 | Children: 2.0
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Stays In Weekend Nights: 2 | Stays In Weekend Nights: 6
Adults: 2 | Adults: 4
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
Deposit Type: No Deposit | Deposit Type: Refundable
Lead Time: 67 | Lead Time: 167
Reservation Status: Check-Out | Reservation Status: Cancellation","Original Instance | Counterfactual
ADR: 80.0 | ADR: 135.4
Reservation Status: Check-Out | Reservation Status: Cancellation"
